"Title","Instructor","Days","Time","Enrolled","Units","Mode","Type"
"AMER 470 Y - Thesis (American Studies)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ANAR 470 Y - Thesis (Anthropology-Art)","Staff",NA,"TBD","0 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ANME 100 S Qtr 1 - Topography & Arch of Rome","Sabnis",NA,"TBD","14 of 15","0.25 units","Instruction mode N/A","LECTURE AND CONFERENCE"
"ANME 261 S - Greek and Roman Mythology","Sabnis","TuTh","15:10 - 16:30","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ANME 384 S - Archaeology of Egypt and Nubia","Landvatter","TuTh","13:40 - 15:00","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANME 501 S - Pseudo-Archaeology","Landvatter","Tu","19:00 - 20:30","8 of 15","0 units","In-Person Instruction Only","CONFERENCE"
"ANTH 201 S01 - Topics: Lang, Culture, Power","Makley","MW","13:10 - 14:30","21 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 201 S02 - Topics: Lang, Culture, Power","Makley","MW","14:40 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 201 S03 - Topics: Decolonizng Archaeology","Roche Recinos","TuTh","13:40 - 15:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 201 S04 - Topics: Decolonizng Archaeology","Roche Recinos","TuTh","15:10 - 16:30","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 305 S - Musical Ethnography","Luker","TuTh","12:00 - 13:20","19 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 331 S - Archaeology of Reed","Roche Recinos","MW","13:10 - 14:30","4 of 23","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"ANTH 337 S - Black Ecologies in Americas","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"ANTH 349 S - Time and Space","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"ANTH 365 S - Development in China","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"ANTH 375 S - Anthropology of Science","Vaidya","MW","14:40 - 16:00","23 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 378 S - Nature / Culture / Environ","Dinç","MW","13:10 - 14:30","8 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 379 S - Resources in Mediterranean","Dinç","TuTh","10:30 - 11:50","7 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 398 S - Race and Immigration","Silverstein","W","18:10 - 21:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 425 S - Marx from the South","Vaidya","Tu","15:10 - 18:00","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 461 S - Theories of Practice","Silverstein","TuTh","13:40 - 15:00","8 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 470 Y - Thesis (Anthropology)","Staff",NA,"TBD","1 of 40","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ARAB 112 S - Introductory Arabic II","Staff","MTuWThF","12:00 - 12:50","8 of 15","1 unit","In-Person Instruction Only","CONFERENCE"
"ARAB 212 S - Intermediate Arabic II","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"ARBI 470 Y - Thesis (Art/Biology)","Staff",NA,"TBD","0 of 5","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"AREN 470 Y - Thesis (Art-English)","Staff",NA,"TBD","0 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ART 171 S - The Figure","Duford","TuTh","9:00 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","STUDIO"
"ART 188 S - Object and Social Context","Stevenson Jr","TuTh","9:00 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","STUDIO"
"ART 201 S01 - Introduction to Art History","Wang","MW","13:10 - 14:30","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ART 201 S02 - Introduction to Art History","Wang","MW","14:40 - 16:00","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ART 274 S - Painting II - Naturecultures","Harrower","MW","13:10 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","STUDIO"
"ART 282 S - Sculpture in Expanded Field","Ondrizek","MW","13:10 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","STUDIO"
"ART 284 S - Craft and Culture","Duford","TuTh","13:40 - 16:30","14 of 15","1 unit","In-Person Instruction Only","STUDIO"
"ART 291 S - Art and Photography II","Miyoshi","TuTh","18:10 - 21:00","Full (no wait list available)","1 unit","In-Person Instruction Only","STUDIO"
"ART 301 S - Art History Beyond the Visual","Katz","Tu","18:10 - 20:00","14 of 24","0.5 units","In-Person Instruction Only","CONFERENCE"
"ART 346 S - Introduction to Media Studies","Cohen","MW","13:10 - 14:30","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ART 351 S - Making Space","Cohen","M","18:10 - 21:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ART 368 S - The Book as Sculptural Object","Tetenbaum","TuTh","13:40 - 16:30","11 of 15","1 unit","In-Person Instruction Only","STUDIO"
"ART 372 S - Int Experiments in Painting","Harrower","MW","9:00 - 11:50","14 of 18","1 unit","In-Person Instruction Only","STUDIO"
"ART 374 S - New Media-Old Media Experiment","Miyoshi","TuTh","13:40 - 16:30","10 of 16","1 unit","In-Person Instruction Only","STUDIO"
"ART 470 Y - Thesis (Art)","Staff",NA,"TBD","1 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"BIOL 102 S01 - Topics in Biology II","Cerveny","TuTh
Tu","9:00 - 10:20
13:10 - 17:00","22 of 24","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 102 S02 - Topics in Biology II","Cerveny","TuTh
W","9:00 - 10:20
13:10 - 17:00","21 of 24","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 102 S03 - Topics in Biology II","Cerveny","TuTh
Th","9:00 - 10:20
13:10 - 17:00","19 of 23","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 102 S04 - Topics in Biology II","Cerveny","TuTh
Tu","9:00 - 10:20
13:10 - 17:00","22 of 23","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 102 S05 - Topics in Biology II","Cerveny","TuTh
W","9:00 - 10:20
13:10 - 17:00","22 of 23","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 102 S06 - Topics in Biology II","Cerveny","TuTh
Th","9:00 - 10:20
13:10 - 17:00","17 of 24","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 131 S01 - Intro to Computational Biology","Ritz","MWF
M","10:00 - 10:50
13:10 - 15:00","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 131 S02 - Intro to Computational Biology","Ritz","MWF
Tu","10:00 - 10:50
15:10 - 17:00","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 181 S - Introduction to Neurobiology","Zornik","TuTh","10:30 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"PHIL 201 S02 - Logic","Bedau","TuTh","13:40 - 15:00","19 of 22","1 unit","In-Person Instruction Only","LECTURE"
"PHIL 207 S - Persons and their Lives","Arkonovich","TuTh","9:00 - 10:20","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"PHIL 310 S - Metaphysics","Hinchliff","TuTh","9:00 - 10:20","12 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"PHIL 315 S - Philosophy of Language","Hinchliff","TuTh","10:30 - 11:50","10 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"PHIL 370 S - Junior Seminar","Scharle","TuTh","13:40 - 15:00","13 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"PHIL 412 S01 - Adv Topics: Computation","Bedau","W","13:10 - 16:00","5 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"PHIL 412 S02 - Adv Topics: Testimony & Trust","Cross","W","18:10 - 21:00","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"PHIL 470 Y - Thesis (Philosophy)","Staff",NA,"TBD","1 of 50","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"PHYB 470 Y - Thesis (Physics-Biology)","Staff",NA,"TBD","0 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"PHYS 102 S01 - General Physics II","Schroeter","MWF
Tu","10:00 - 10:50
10:30 - 11:50","13 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"PHYS 102 S02 - General Physics II","Schroeter","MWF
W","10:00 - 10:50
13:10 - 14:30","17 of 25","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"PHYS 102 S03 - General Physics II","Schroeter","MWF
Th","10:00 - 10:50
13:40 - 15:00","15 of 23","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"PHYS 102 S04 - General Physics II","Schroeter","MWF
Tu","10:00 - 10:50
13:40 - 15:00","12 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"PHYS 102 SL1 - General Physics II: Lab","Gross","M","13:10 - 16:00","11 of 16","0 units","In-Person Instruction Only","LAB"
"PHYS 102 SL2 - General Physics II: Lab","Gross","Tu","13:40 - 16:30","9 of 16","0 units","In-Person Instruction Only","LAB"
"PHYS 102 SL3 - General Physics II: Lab","Gross","Tu","13:40 - 16:30","10 of 16","0 units","In-Person Instruction Only","LAB"
"PHYS 102 SL4 - General Physics II: Lab","Gross","Th","13:40 - 16:30","10 of 15","0 units","In-Person Instruction Only","LAB"
"PHYS 102 SL5 - General Physics II: Lab","Gross","Th","13:40 - 16:30","7 of 15","0 units","In-Person Instruction Only","LAB"
"PHYS 102 SL6 - General Physics II: Lab","Gross","M","13:10 - 16:00","10 of 16","0 units","In-Person Instruction Only","LAB"
"PHYS 202 S01 - Modern Physics","Staff",NA,NA,NA,NA,NA,"LECTURE AND LAB | CANCELLED"
"PHYS 202 S02 - Modern Physics","Crocker","MWF
M
W","10:00 - 10:50
13:10 - 14:30
13:10 - 16:00","12 of 14","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PHYS 202 S03 - Modern Physics","Crocker","MWF
M
Th","10:00 - 10:50
13:10 - 14:30
13:40 - 16:30","11 of 13","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PHYS 322 S - Electrodynamics II","Franklin","MWF","12:00 - 12:50","7 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"PHYS 323 S - Topics in Optics","Illing","TuTh","10:30 - 11:50","6 of 24","1 unit","In-Person Instruction Only","LECTURE"
"PHYS 332 S01 - Advanced Laboratory II","Heath","Tu
M","13:40 - 16:30
15:10 - 16:00","6 of 8","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PHYS 332 S02 - Advanced Laboratory II","Heath","W
M","13:10 - 16:00
15:10 - 16:00","7 of 8","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PHYS 332 S03 - Advanced Laboratory II","Staff",NA,NA,NA,NA,NA,"LECTURE AND LAB | CANCELLED"
"PHYS 342 S - Quantum Mechanics I","Schroeter","MWF","9:00 - 9:50","19 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"PHYS 362 S - Solid State Physics","Charles","MWF","11:00 - 11:50","10 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"PHYS 442 S - Quantum Mechanics II","Franklin","MWF","10:00 - 10:50","10 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"PHYS 470 Y - Thesis (Physics)","Staff",NA,"TBD","4 of 50","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"POL 240 S01 - Intro to Int 'l Relations","Montgomery","Th
Tu","12:00 - 13:20
13:40 - 15:00","14 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"POL 240 S02 - Intro to Int 'l Relations","Montgomery","Tu
Th","13:40 - 15:00
13:40 - 15:00","16 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"POL 240 S03 - Intro to Int 'l Relations","Musthaq","Tu
Th","13:40 - 15:00
15:10 - 16:30","8 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"POL 240 S04 - Intro to Int 'l Relations","Musthaq","Tu
Th","13:40 - 15:00
13:40 - 15:00","13 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"POL 280 S01 - Intro to Political Theory","Neame","Th
Tu","10:30 - 11:50
15:10 - 16:30","12 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"POL 280 S02 - Intro to Political Theory","Neame","Th
Tu","12:00 - 13:20
15:10 - 16:30","14 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"POL 280 S03 - Intro to Political Theory","Neame","Tu
Th","15:10 - 16:30
15:10 - 16:30","17 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"POL 300 S - Junior Research Seminar","Qi","MW","14:40 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"POL 324 S - Human Rights Latin America","Daby","TuTh","13:40 - 15:00","15 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"POL 335 S - Gender & Politics inthe Americas","Daby","TuTh","15:10 - 16:30","15 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"POL 351 S - Interdisciplinary Approaches","Montgomery","M","13:10 - 14:30","6 of 24","0.5 units","In-Person Instruction Only","CONFERENCE"
"POL 352 S - Special Topics in ICPS","Montgomery","W","13:10 - 14:30","7 of 24","0.5 units","In-Person Instruction Only","CONFERENCE"
"POL 362 S01 - State and Local Politics","Koski","TuTh","10:30 - 11:50","17 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"POL 362 S02 - State and Local Politics","Koski","TuTh","15:10 - 16:30","13 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"POL 377 S - Elections: American Style","Qi","MW","13:10 - 14:30","6 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"POL 403 S - Hegel and Marx","Steinberger","MW","10:00 - 11:20","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"POL 470 Y - Thesis (Political Science)","Staff",NA,"TBD","0 of 50","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"PSRL 470 Y - Thesis (Psychology-Religion)","Staff",NA,"TBD","0 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"PSY 200 S01 Qtr 1 - Methods-Health Psychology","Velkoff","M","14:40 - 16:00","Full (no wait list available)","0.25 units","In-Person Instruction Only","CONFERENCE"
"PSY 200 S02 Qtr 2 - Methods-Health Psychology","Velkoff","M","14:40 - 16:00","Full (3 on wait list)","0.25 units","In-Person Instruction Only","CONFERENCE"
"PSY 203 S01 Qtr 1 - Methods-Learng & Comprtv Psych","Jensen","Tu","10:30 - 11:50","Full (no wait list available)","0.25 units","In-Person Instruction Only","CONFERENCE"
"PSY 203 S02 Qtr 2 - Methods-Learng & Comprtv Psych","Jensen","Tu","10:30 - 11:50","Full (4 on wait list)","0.25 units","In-Person Instruction Only","CONFERENCE"
"PSY 204 S01 Qtr 1 - Methods-Educational Psychology","Corpus","M","13:10 - 14:30","Full (no wait list available)","0.25 units","In-Person Instruction Only","CONFERENCE"
"PSY 204 S02 Qtr 2 - Methods-Educational Psychology","Corpus","M","13:10 - 14:30","Full (4 on wait list)","0.25 units","In-Person Instruction Only","CONFERENCE"
"PSY 206 S01 Qtr 1 - Methods-Psychopathology","Anderson","Tu","13:40 - 15:00","Full (no wait list available)","0.25 units","In-Person Instruction Only","CONFERENCE"
"PSY 206 S02 Qtr 2 - Methods-Psychopathology","Anderson","Tu","13:40 - 15:00","Full (10 on wait list)","0.25 units","In-Person Instruction Only","CONFERENCE"
"PSY 207 S01 Qtr 1 - Methods-Social Psychology","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"PSY 207 S02 Qtr 2 - Methods-Social Psychology","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"PSY 208 S01 Qtr 1 - Methods-Cognitive Psychology","Safin","Th","13:40 - 15:00","Full (no wait list available)","0.25 units","In-Person Instruction Only","CONFERENCE"
"PSY 208 S02 Qtr 2 - Methods-Cognitive Psychology","Safin","Th","13:40 - 15:00","Full (7 on wait list)","0.25 units","In-Person Instruction Only","CONFERENCE"
"PSY 217 S - Neuroscience of Consciousness","Pitts","TuTh","15:10 - 16:30","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"PSY 253 S - Psychedelics & Mental Health","Ford","MWF","11:00 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"PSY 322 S - Social Psychology","Velkoff","MWF
F","13:10 - 14:00
14:40 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PSY 326 S - Altruism and Self-Interest","Safin","MW","14:40 - 16:00","13 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"PSY 337 S - Psychophysiology","Staff",NA,NA,NA,NA,NA,"LECTURE | CANCELLED"
"PSY 338 S - Psychopharmacology","Ford","MWF","14:40 - 15:30","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"PSY 348 S01 - Statistical Analysis Psychology","Anderson","MWF
Tu","11:00 - 11:50
12:00 - 12:50","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PSY 348 S02 - Statistical Analysis Psychology","Anderson","MWF
W","11:00 - 11:50
13:10 - 14:00","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PSY 361 S01 - Developmental Psychology","Corpus","TuTh
Th","9:00 - 10:20
11:00 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PSY 361 S02 - Developmental Psychology","Corpus","TuTh
Th","9:00 - 10:20
12:00 - 12:50","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PSY 373 S01 - Learning","Jensen","WF
MWF","9:00 - 9:50
10:00 - 10:50","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PSY 373 S02 - Learning","Jensen","MWF
WF","10:00 - 10:50
12:00 - 12:50","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PSY 381 S - Sensation & Perception","Pitts","TuTh
W","12:00 - 13:20
14:40 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"PSY 470 Y - Thesis (Psychology)","Staff",NA,"TBD","2 of 50","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"REAM 470 Y - Religion/Anc Medit Std Thesis","Staff",NA,"TBD","1 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"REL 123 S - Islam in the Modern World","Mixon","MWF","13:10 - 14:00","12 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 132 S01 - Intro to South Asian Buddhism","Scheible","TuTh","10:30 - 11:50","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 132 S02 - Intro to South Asian Buddhism","Scheible","TuTh","9:00 - 10:20","21 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 151 S01 - Introduction to Judaism","Handy","MWF","12:00 - 12:50","23 of 25","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 151 S02 - Introduction to Judaism","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"REL 201 S - Theories & Methods","Foat","MWF","11:00 - 11:50","7 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 259 S - Jews across the Americas","Leibman","MWF","11:00 - 11:50","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 331 S - Lives of the Buddha","Scheible","TuTh","15:10 - 16:30","10 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 348 S - Works of Mercy","Foat","MWF","10:00 - 10:50","8 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 351 S - Bible and Ethnicity","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"REL 363 S01 - Holy Sh*t: Religious Things","Mixon","MW","14:40 - 16:00","11 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 363 S02 - Holy Sh*t: Religious Things","Mixon","TuTh","13:40 - 15:00","9 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 402 S - The Junior Seminar in Religion","Foat","MW","13:10 - 14:30","7 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"REL 470 Y - Thesis & Symposium (Religion)","Staff",NA,"TBD","1 of 50","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"REPO 470 Y - Thesis (Religion-Pol Science)","Staff",NA,"TBD","0 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"RTHE 470 Y - Thesis (Religion-Theatre)","Staff",NA,"TBD","0 of 5","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"RUAN 470 Y - Thesis (Russian-Anthropology)","Staff",NA,"TBD","0 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"RUSS 112 S01 - First-Year Russian II","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"RUSS 112 S02 - First-Year Russian II","Bershtein","MTuWThF","12:00 - 12:50","6 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"RUSS 220 Y - Second-Year Russian","Grinberg","MTuWThF","12:00 - 12:50","4 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"RUSS 373 S - 20th-Century Russian Lit","Grinberg","TuTh","13:40 - 15:00","15 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
