"Title","Instructor","Days","Time","Enrolled","Units","Mode","Type"
"MATH 201 S02 - Linear Algebra","Pommersheim","TuTh","13:40 - 15:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 202 S01 - Vector Calculus","Meyer","MWF","11:00 - 11:50","25 of 30","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 202 S02 - Vector Calculus","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"MATH 241 S - Data Science","Allorant","TuTh","15:10 - 16:30","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE"
"MATH 311 S - Complex Analysis","Chang","MWF","13:10 - 14:00","9 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 322 S - Ordinary Differential Equation","Moll","TuTh","9:00 - 10:20","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 332 S01 - Abstract Algebra","Daugherty","TuTh","10:30 - 11:50","14 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 332 S02 - Abstract Algebra","Daugherty","TuTh","13:40 - 15:00","19 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 342 S - Topology","Meyer","MWF","14:40 - 15:30","10 of 23","1 unit","In-Person Instruction Only","LECTURE"
"MATH 346 S - Bayesian Statistics","Pearce","TuTh","13:40 - 15:00","17 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 361 S - Number Theory","Shurman","MTuWF","10:00 - 10:50","14 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 382 S - Algorithms & Data Structures","Blum","MW","14:40 - 16:00","22 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 387 S01 - Computability & Complexity","Groce","MW","13:10 - 14:30","21 of 24","1 unit","In-Person Instruction Only","LECTURE"
"MATH 387 S02 - Computability & Complexity","Staff",NA,NA,NA,NA,NA,"LECTURE AND LAB | CANCELLED"
"MATH 392 S - Mathematical Statistics","Wainstein","MWF","9:00 - 9:50","8 of 24","1 unit","In-Person Instruction Only","LECTURE"
"MATH 411 S - Topics in Advanced Analysis","Shurman","MWF","9:00 - 9:50","12 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 441 S - Topics In Computer Sci Theory","Pommersheim","TuTh","9:00 - 10:20","13 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MATH 470 Y - Thesis (Mathematics)","Staff",NA,"TBD","1 of 40","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"MPHY 470 Y - Thesis (Mathematics/Physics)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"MUS 101 S - Private Instruction","Bunch",NA,"TBD","100 of 102","0.5 units","In-Person Instruction Only","INDEPENDENT STUDY"
"MUS 101 SNC - Private Instruction","Bunch",NA,"TBD","Full (no wait list available)","0 units","In-Person Instruction Only","INDEPENDENT STUDY"
"MUS 104 SCR - Orchestra","Bunch","TuTh","19:40 - 21:00","27 of 50","0.5 units","In-Person Instruction Only","STUDIO"
"MUS 104 SNC - Orchestra","Bunch","TuTh","19:40 - 21:00","27 of 50","0 units","In-Person Instruction Only","STUDIO"
"MUS 105 SCR - Chorus","Mallis","W","18:10 - 20:30","17 of 60","0.5 units","In-Person Instruction Only","STUDIO"
"MUS 105 SNC - Chorus","Mallis","W","18:10 - 20:30","17 of 60","0 units","In-Person Instruction Only","STUDIO"
"MUS 106 SCR - Treble Voices Ensemble","Staff",NA,NA,NA,NA,NA,"STUDIO | CANCELLED"
"MUS 106 SNC - Treble Voices Ensemble","Staff",NA,NA,NA,NA,NA,"STUDIO | CANCELLED"
"MUS 107 SCR - Collegium Musicum","Mallis","TuTh","16:40 - 18:00","13 of 30","0.5 units","In-Person Instruction Only","STUDIO"
"MUS 107 SNC - Collegium Musicum","Mallis","TuTh","16:40 - 18:00","13 of 30","0 units","In-Person Instruction Only","STUDIO"
"MUS 108 SCR - Jazz Ensemble","Bunch","M","17:10 - 20:00","24 of 30","0.5 units","In-Person Instruction Only","STUDIO"
"MUS 108 SNC - Jazz Ensemble","Bunch","M","17:10 - 20:00","24 of 30","0 units","In-Person Instruction Only","STUDIO"
"MUS 109 SCR - Chamber Music","Bunch",NA,"TBD","28 of 30","0.5 units","In-Person Instruction Only","STUDIO"
"MUS 109 SNC - Chamber Music","Bunch",NA,"TBD","28 of 30","0 units","In-Person Instruction Only","STUDIO"
"MUS 150 S - The Cultural Study of Music","Luker","TuTh","9:00 - 10:20","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"MUS 205 S - Musicianship & Ear Training","Yoon","TuTh","13:40 - 15:00","8 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MUS 210 S - Music Theory and Practice II","Bunch","MW","13:10 - 14:30","19 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MUS 222 S - Music History II: Amer aft 1800","Burford","MW","14:40 - 16:00","9 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MUS 254 S - Africa and Black Music","Burford","TuTh","10:30 - 11:50","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MUS 277 S - Music and Politics","Luker","MW","13:10 - 14:30","16 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MUS 305 S - Musical Ethnography","Luker","TuTh","12:00 - 13:20","19 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"MUS 316 S - Songwriting & Storytelling","Yoon","M","18:10 - 21:00","Full (no wait list available)","1 unit","In-Person Instruction Only","STUDIO"
"MUS 470 Y - Thesis (Music)","Staff",NA,"TBD","0 of 40","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"NEUR 470 Y - Thesis (Neuroscience)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"PE 103 100 Qtr 1 - Dance Production PE Credit","Mann",NA,"TBD","1 of 24","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 112 Qtr 1 - Intro Cntp Dance: Cross PE Cr","Parsons-Akinjiola","TuTh","10:30 - 11:50","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 252 Qtr 1 - Improvisation PE Credit","Mann","MW","14:40 - 16:00","4 of 6","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 313 Qtr 1 - Contemp Dance V: PE Credit","Parsons-Akinjiola","MW","13:10 - 14:30","2 of 6","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 3B1 Qtr 1 - Ballet I-II PE Credit","Fortuna","MW","18:10 - 19:30","16 of 24","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 3B3 Qtr 1 - Ballet III-IV PE Credit","Fortuna","MW","16:40 - 18:00","16 of 24","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 3H1 Qtr 1 - Hip Hop Dance I-II PE Credit","Fortuna","F","16:40 - 18:00","23 of 24","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 3H3 Qtr 1 - Hip-Hop Dance III-IV PE Credit","Fortuna","Tu","18:10 - 19:30","19 of 24","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 3T1 Qtr 1 - Tango I-II PE Credit","Fortuna","TuTh","15:10 - 16:30","14 of 30","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 411 Qtr 1 - Adv Technique & Perform: PE Cr","Parsons-Akinjiola","TuTh","12:00 - 13:20","0 of 6","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 BLA Qtr 1 - Bouldering","Sofich","M","18:10 - 21:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 BLB Qtr 1 - Bouldering","Sofich","W","18:10 - 21:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 BOW Qtr 1 - Bowling","McCormack","Tu","15:10 - 17:30","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 JUG Qtr 1 - Juggling","Celarier","W","19:10 - 21:00","40 of 46","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 KBC Qtr 1 - Cardio Kickboxing","Edelson","MW","17:10 - 18:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 MA1 Qtr 1 - Intro to Martial Arts","Morrison","TuTh","16:10 - 17:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 MA2 Qtr 1 - Fighting Fit Martial Arts Cond","Morrison","TuTh","17:10 - 18:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 MWA Qtr 1 - Mindful Walking at Reed","Granger","W","12:00 - 12:50","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 MWB Qtr 1 - Mindful Walking at Reed","Granger","W","16:10 - 17:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 PIL Qtr 1 - Pilates","Bradley","MW","12:00 - 12:50","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 RGB Qtr 1 - Rugby","Baravilala","Su
W","12:00 - 14:00
16:10 - 18:00","19 of 40","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 SDA Qtr 1 - Applied Fitness & Self Defense","Thomas","F","16:10 - 18:10","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 SDF Qtr 1 - Self Defense","Morrison","TuTh","15:10 - 16:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 SDT Qtr 1 - Self Defense: Theory & Fitness","Thomas","F","13:45 - 15:45","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 SKC Qtr 1 - Cross-Country Skiing","Sofich","Tu","18:10 - 21:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 SKI Qtr 1 - Skiing: Dwnhll-Nord-Tlmrk-Snwbd","Lombardo","F","13:40 - 23:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 SQB Qtr 1 - Squash - Beginning","Zaharchuk","TuTh","15:10 - 16:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 SQI Qtr 1 - Squash - Intermediate","Zaharchuk","TuTh","16:10 - 17:00","7 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 SQT Qtr 1 - Squash - Team","Zaharchuk","MW","18:10 - 20:00","5 of 15","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 ST1 Qtr 1 - Strength Training - Beginning","Holverson","Tu","16:40 - 18:30","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 ST2 Qtr 1 - Strength Training - Advanced","Holverson","Th","16:40 - 18:30","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 TC1 Qtr 1 - Tai Chi - Beginning","Sitt","TuTh","15:10 - 16:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 TC2 Qtr 1 - Tai Chi - Intermediate","Sitt","TuTh","16:10 - 17:00","2 of 16","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 UFB Qtr 1 - Ultimate Frisbee","Hursey","Su
F","14:10 - 16:00
16:10 - 18:00","28 of 40","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 VOL Qtr 1 - Volleyball","Prewitt","MW","16:10 - 17:00","23 of 25","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 WRC Qtr 1 - Weight Room Confidence","Prior","TuTh","19:10 - 20:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 XAM Qtr 1 - A.M. Yoga - All Levels","Kraai","MW","7:45 - 8:45","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 XHF Qtr 1 - A.M. Yoga - Hatha Flow","Ansley","TuTh","7:45 - 8:45","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 XY1 Qtr 1 - Yoga - Hatha","Lake-Freeman","TuTh","17:10 - 18:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 XYI Qtr 1 - Yoga - Hatha Intermediate","Ansley","MW","16:40 - 17:30","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 XYR Qtr 1 - Yoga for Relaxation","Lake-Freeman","TuTh","18:10 - 19:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 XYV Qtr 1 - Yoga - Vinyasa Flow","Johnson","TuTh","12:00 - 12:50","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 103 ZUM Qtr 1 - Zumba - 1","Yago","TuTh","20:10 - 21:00","Full (no wait list available)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 100 Qtr 2 - Dance Production PE Credit","Mann",NA,"TBD","1 of 24","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 112 Qtr 2 - Intro Cntp Dance: Cross PE Cr","Parsons-Akinjiola","TuTh","10:30 - 11:50","Full (0 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 252 Qtr 2 - Improvisation PE Credit","Mann","MW","14:40 - 16:00","5 of 6","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 313 Qtr 2 - Contemp Dance V: PE Credit","Parsons-Akinjiola","MW","13:10 - 14:30","2 of 6","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 411 Qtr 2 - Adv Technique & Perform: PE Cr","Parsons-Akinjiola","TuTh","12:00 - 13:20","0 of 6","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 4B1 Qtr 2 - Ballet I-II PE Credit","Fortuna","MW","18:10 - 19:30","21 of 24","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 4B3 Qtr 2 - Ballet III-IV PE Credit","Fortuna","MW","16:40 - 18:00","14 of 24","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 4H1 Qtr 2 - Hip Hop Dance I-II PE Credit","Fortuna","F","16:40 - 18:00","14 of 24","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 4H3 Qtr 2 - Hip-Hop Dance III-IV PE Credit","Fortuna","Tu","18:10 - 19:30","12 of 24","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 4T1 Qtr 2 - Tango I-II PE Credit","Fortuna","TuTh","15:10 - 16:30","9 of 30","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 ARI Qtr 2 - Archery - Intermediate/Adv","Benson","TuTh","16:10 - 17:00","Full (1 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 BCN Qtr 2 - Backcountry Navigation","Sofich","Tu","18:10 - 21:00","Full (15 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 BIR Qtr 2 - Birding Reed","Granger","Th","7:00 - 8:50","Full (19 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 BKA Qtr 2 - Bike Clinic","Clark","Tu","16:40 - 18:30","7 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 BKB Qtr 2 - Bike Clinic","Clark","W","16:40 - 18:30","7 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 BLD Qtr 2 - Bouldering","Sofich","W","18:10 - 21:00","Full (18 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 CLS Qtr 2 - Rock Climbing Skills","Sofich","M","18:10 - 21:00","Full (19 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 DG1 Qtr 2 - Disc Golf 101","Kallio","M","13:10 - 16:30","6 of 11","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 JUG Qtr 2 - Juggling","Celarier","W","19:10 - 21:00","Full (1 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 KBC Qtr 2 - Cardio Kickboxing","Edelson","MW","17:10 - 18:00","Full (7 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 MA1 Qtr 2 - Intro to Martial Arts","Morrison","TuTh","16:10 - 17:00","11 of 14","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 MA2 Qtr 2 - Fighting Fit Martial Arts Cond","Morrison","TuTh","17:10 - 18:00","Full (0 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 MWA Qtr 2 - Mindful Walking at Reed","Granger","W","12:00 - 12:50","Full (18 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 MWB Qtr 2 - Mindful Walking at Reed","Granger","W","16:10 - 17:00","Full (17 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 OSC Qtr 2 - Outdoor Skills Class","Symms","W","15:10 - 17:20","Full (10 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 PIL Qtr 2 - Pilates","Bradley","MW","12:00 - 12:50","Full (13 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 RGB Qtr 2 - Rugby","Baravilala","Su
W","12:00 - 13:50
16:10 - 18:00","6 of 40","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SCC Qtr 2 - Soccer - Co Ed Class","Beutler","M","16:10 - 18:00","Full (1 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SDA Qtr 2 - Applied Fitness & Self Defense","Thomas","F","16:10 - 18:10","Full (0 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SDF Qtr 2 - Self Defense","Morrison","TuTh","15:10 - 16:00","9 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SDT Qtr 2 - Self Defense: Theory & Fitness","Thomas","F","13:45 - 15:45","11 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SQB Qtr 2 - Squash - Beginning","Zaharchuk","TuTh","15:10 - 16:00","11 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SQI Qtr 2 - Squash - Intermediate","Zaharchuk","TuTh","16:10 - 17:00","5 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SQT Qtr 2 - Squash - Team","Zaharchuk","MW","18:10 - 20:00","5 of 15","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 ST1 Qtr 2 - Strength Training - Beginning","Holverson","Tu","16:40 - 18:30","Full (11 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 ST2 Qtr 2 - Strength Training - Advanced","Holverson","Th","16:40 - 18:30","Full (10 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 TC1 Qtr 2 - Tai Chi - Beginning","Sitt","TuTh","15:10 - 16:00","Full (3 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 TC2 Qtr 2 - Tai Chi - Intermediate","Sitt","TuTh","16:10 - 17:00","3 of 16","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 UFB Qtr 2 - Ultimate Frisbee","Hursey","Su
F","14:10 - 16:00
16:10 - 18:00","17 of 40","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 VOL Qtr 2 - Volleyball","Prewitt","MW","16:10 - 17:00","Full (8 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XAM Qtr 2 - A.M. Yoga - All Levels","Kraai","MW","7:45 - 8:45","20 of 25","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XHF Qtr 2 - A.M. Yoga - Hatha Flow","Ansley","TuTh","7:45 - 8:45","19 of 25","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XY1 Qtr 2 - Yoga - Hatha","Lake-Freeman","TuTh","17:10 - 18:00","Full (6 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XYI Qtr 2 - Yoga - Hatha Intermediate","Ansley","MW","16:40 - 17:30","18 of 25","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XYR Qtr 2 - Yoga for Relaxation","Lake-Freeman","TuTh","18:10 - 19:00","Full (14 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XYV Qtr 2 - Yoga - Vinyasa Flow","Johnson","TuTh","12:00 - 12:50","16 of 25","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 ZUM Qtr 2 - Zumba - 2","Yago","TuTh","20:10 - 21:00","16 of 20","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 203 CLI Qtr 1 - Climbing - Independent","Symms",NA,"TBD","13 of 15","0 units","Instruction mode N/A","PHYSICAL EDUCATION"
"PE 203 OFF Qtr 1 - Off-Campus PE","Lombardo",NA,"TBD","8 of 20","0 units","Instruction mode N/A","PHYSICAL EDUCATION"
"PE 203 RUN Qtr 1 - Running Club","Crocker","Tu","17:10 - 18:00","Full (no wait list available)","0 units","Online Instruction Only","PHYSICAL EDUCATION"
"PE 204 CLI Qtr 2 - Climbing - Independent","Symms",NA,"TBD","Full (1 on wait list)","0 units","Instruction mode N/A","PHYSICAL EDUCATION"
"PE 204 OFF Qtr 2 - Off Campus PE","Lombardo",NA,"TBD","6 of 20","0 units","Instruction mode N/A","PHYSICAL EDUCATION"
"PE 204 RUN Qtr 2 - Running Club","Crocker","Tu","17:10 - 18:00","Full (3 on wait list)","0 units","Online Instruction Only","PHYSICAL EDUCATION"
"PE 303 CME Qtr 1 - Community Engagement","Tsang",NA,"TBD","2 of 20","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 304 CME Qtr 2 - Community Engagement","Tsang",NA,"TBD","0 of 20","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 403 EXL Qtr 1 - Experiential Learning","Martin",NA,"TBD","2 of 20","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 404 EXL Qtr 2 - Experiential Learning","Martin",NA,"TBD","0 of 20","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PHIL 201 S01 - Logic","Bedau","TuTh","12:00 - 13:20","23 of 25","1 unit","In-Person Instruction Only","LECTURE"
