"Department","Level","Val","Count"
"All Departments",400,0,52
"All Departments",400,4,1
"All Departments",400,5,2
"All Departments",400,6,1
"All Departments",400,8,3
"All Departments",400,10,1
"All Departments",400,11,3
"All Departments",400,12,1
"All Departments",400,13,3
"All Departments",400,15,1
"All Departments",400,16,2
"All Departments",400,18,1
"All Departments",100,0,1
"All Departments",100,1,3
"All Departments",100,2,3
"All Departments",100,4,2
"All Departments",100,6,2
"All Departments",100,7,1
"All Departments",100,8,8
"All Departments",100,9,6
"All Departments",100,10,3
"All Departments",100,11,5
"All Departments",100,12,4
"All Departments",100,13,3
"All Departments",100,14,7
"All Departments",100,15,10
"All Departments",100,16,10
"All Departments",100,17,1
"All Departments",100,18,4
"All Departments",100,19,2
"All Departments",100,20,2
"All Departments",100,21,6
"All Departments",100,22,4
"All Departments",100,23,4
"All Departments",100,24,1
"All Departments",100,27,2
"All Departments",200,3,2
"All Departments",200,4,2
"All Departments",200,5,1
"All Departments",200,6,2
"All Departments",200,7,2
"All Departments",200,8,5
"All Departments",200,9,5
"All Departments",200,10,4
"All Departments",200,11,8
"All Departments",200,12,5
"All Departments",200,13,3
"All Departments",200,14,3
"All Departments",200,15,2
"All Departments",200,16,2
"All Departments",200,17,6
"All Departments",200,18,1
"All Departments",200,19,8
"All Departments",200,20,5
"All Departments",200,21,6
"All Departments",200,22,6
"All Departments",200,23,4
"All Departments",200,24,5
"All Departments",300,0,1
"All Departments",300,1,3
"All Departments",300,4,3
"All Departments",300,5,8
"All Departments",300,6,9
"All Departments",300,7,10
"All Departments",300,8,4
"All Departments",300,9,6
"All Departments",300,10,1
"All Departments",300,11,6
"All Departments",300,12,5
"All Departments",300,13,8
"All Departments",300,14,6
"All Departments",300,15,6
"All Departments",300,16,8
"All Departments",300,17,5
"All Departments",300,18,7
"All Departments",300,19,7
"All Departments",300,20,2
"All Departments",300,21,4
"All Departments",300,22,4
"All Departments",300,23,5
"All Departments",300,24,1
"All Departments",500,3,1
"All Departments",500,4,1
"All Departments",500,8,1
"All Departments",0,15,1
"All Departments",600,0,1
"AMER",400,0,1
"ANAR",400,0,1
"ANME",100,14,1
"ANME",300,20,1
"ANME",500,8,1
"ANTH",200,17,1
"ANTH",200,20,1
"ANTH",200,24,2
"ANTH",300,5,1
"ANTH",300,6,1
"ANTH",300,8,1
"ANTH",300,16,1
"ANTH",300,23,2
"ANTH",400,0,1
"ANTH",400,8,1
"ANTH",400,16,1
"ARAB",100,8,1
"ARBI",400,0,1
"AREN",400,0,1
"ART",200,14,1
"ART",200,20,1
"ART",200,24,1
"ART",300,10,1
"ART",300,11,1
"ART",300,12,1
"ART",300,14,1
"ART",400,0,1
"BIOL",100,16,1
"BIOL",100,19,1
"BIOL",100,21,2
"BIOL",100,22,2
"BIOL",200,7,1
"BIOL",200,20,1
"BIOL",300,11,2
"BIOL",300,12,1
"BIOL",300,13,1
"BIOL",300,14,1
"BIOL",300,17,1
"BIOL",400,0,1
"BIOL",400,4,1
"BIOL",400,11,1
"BIOL",400,15,1
"BIOL",400,16,1
"BIPH",400,0,1
"BIPY",400,0,1
"BMB",400,0,1
"CHEM",0,15,1
"CHEM",100,8,1
"CHEM",100,11,3
"CHEM",100,13,1
"CHEM",100,15,1
"CHEM",100,17,1
"CHEM",100,19,1
"CHEM",100,20,1
"CHEM",100,21,1
"CHEM",200,9,1
"CHEM",200,11,1
"CHEM",200,16,1
"CHEM",200,17,1
"CHEM",200,19,1
"CHEM",200,21,1
"CHEM",200,22,1
"CHEM",200,24,1
"CHEM",300,7,1
"CHEM",300,15,2
"CHEM",300,17,1
"CHEM",400,0,1
"CHIN",100,7,1
"CHIN",100,8,1
"CHIN",200,6,1
"CHIN",200,8,1
"CHIN",300,7,2
"CHIN",300,11,1
"CHIN",400,0,1
"CMPL",200,21,1
"CMPL",400,0,1
"CPHY",400,0,1
"CRES",100,23,1
"CRES",200,19,1
"CRES",300,13,1
"CRES",300,18,2
"CRES",300,23,1
"CRES",400,0,1
"CRWR",200,12,1
"CRWR",300,8,1
"CRWR",300,9,1
"CRWR",300,14,1
"CSCI",200,9,1
"CSCI",200,11,1
"CSCI",300,15,1
"CSCI",300,21,1
"CSCI",300,22,1
"CSCI",300,23,1
"CSCI",400,0,1
"CSCI",400,13,1
"CSMA",400,0,1
"DANC",100,0,1
"DANC",100,1,3
"DANC",100,2,3
"DANC",100,4,2
"DANC",200,19,2
"DANC",300,4,2
"DANC",300,5,1
"DANC",400,0,1
"DANC",400,11,2
"ECMA",400,0,1
"ECON",200,8,1
"ECON",200,13,1
"ECON",200,17,1
"ECON",200,23,1
"ECON",300,13,1
"ECON",300,14,1
"ECON",300,15,1
"ECON",300,16,1
"ECON",300,19,2
"ECON",400,0,1
"ECON",400,5,1
"ECPS",400,0,1
"ENG",200,17,1
"ENG",200,19,1
"ENG",200,22,1
"ENG",300,18,1
"ENG",300,22,1
"ENG",300,23,1
"ENG",400,0,1
"ENV",200,21,1
"ENV",300,19,1
"ENV",400,0,1
"FREN",100,6,1
"FREN",100,9,1
"FREN",200,9,1
"FREN",200,14,1
"FREN",300,5,2
"FREN",300,7,1
"FREN",300,12,1
"FREN",300,18,1
"FREN",400,0,1
"GER",100,9,1
"GER",100,10,1
"GER",200,11,1
"GER",300,5,2
"GER",400,0,1
"GLAM",400,0,1
"GRK",100,9,1
"GRK",200,3,1
"GRK",300,4,1
"HISL",400,0,1
"HIST",200,21,1
"HIST",200,22,2
"HIST",200,23,1
"HIST",300,13,1
"HIST",300,16,1
"HIST",300,17,1
"HIST",300,18,1
"HIST",300,19,1
"HIST",300,20,1
"HIST",400,0,1
"HIST",400,8,1
"HIST",400,12,1
"HUM",100,9,1
"HUM",100,10,1
"HUM",100,13,2
"HUM",100,14,3
"HUM",100,15,6
"HUM",100,16,7
"HUM",200,3,1
"HUM",200,4,1
"HUM",200,8,1
"HUM",200,10,2
"HUM",200,11,1
"HUM",200,12,1
"HUM",200,17,1
"ICPS",300,6,2
"ICPS",400,0,1
"LAT",100,9,1
"LAT",300,12,1
"LBST",500,3,1
"LING",200,21,1
"LING",200,22,1
"LING",300,1,1
"LING",300,5,1
"LING",300,6,1
"LING",300,18,1
"LING",400,0,1
"LING",400,6,1
"LIT",200,23,1
"LIT",300,18,1
"LIT",500,4,1
"LITC",300,7,1
"LITC",300,11,1
"LITR",300,15,1
"LITR",300,19,1
"LITS",300,21,1
"LTHE",400,0,1
"MALS",600,0,1
"MATH",100,12,1
"MATH",100,14,1
"MATH",100,15,1
"MATH",100,16,1
"MATH",100,18,1
"MATH",100,20,1
"MATH",100,21,1
"MATH",100,22,1
"MATH",100,24,1
"MATH",200,21,1
"MATH",200,23,1
"MATH",200,24,1
"MATH",300,7,2
"MATH",300,9,1
"MATH",300,13,1
"MATH",300,14,1
"MATH",300,17,2
"MATH",300,21,1
"MATH",300,22,1
"MATH",300,24,1
"MATH",400,0,1
"MATH",400,13,2
"MPHY",400,0,1
"MUS",100,14,2
"MUS",100,18,2
"MUS",100,23,3
"MUS",100,27,2
"MUS",200,7,1
"MUS",200,10,1
"MUS",200,16,1
"MUS",200,19,2
"MUS",300,16,1
"MUS",400,0,1
"NEUR",400,0,1
"PHIL",200,15,1
"PHIL",200,20,1
"PHIL",300,8,1
"PHIL",300,9,1
"PHIL",300,13,1
"PHIL",400,0,1
"PHIL",400,5,1
"PHIL",400,18,1
"PHYB",400,0,1
"PHYS",100,8,3
"PHYS",100,9,1
"PHYS",100,10,1
"PHYS",100,11,1
"PHYS",100,12,2
"PHYS",100,15,2
"PHYS",200,11,2
"PHYS",300,6,2
"PHYS",300,7,2
"PHYS",300,9,1
"PHYS",300,19,1
"PHYS",400,0,1
"PHYS",400,10,1
"POL",200,8,1
"POL",200,11,1
"POL",200,12,1
"POL",200,13,1
"POL",200,14,1
"POL",200,15,1
"POL",200,17,1
"POL",300,6,3
"POL",300,13,1
"POL",300,14,1
"POL",300,16,2
"POL",400,0,1
"PSRL",400,0,1
"PSY",300,13,1
"PSY",400,0,1
"REAM",400,0,1
"REL",100,12,1
"REL",100,21,2
"REL",100,22,1
"REL",200,8,1
"REL",200,18,1
"REL",300,8,1
"REL",300,9,2
"REL",300,11,1
"REL",400,0,1
"REL",400,8,1
"REPO",400,0,1
"RTHE",400,0,1
"RUAN",400,0,1
"RUSS",100,6,1
"RUSS",200,4,1
"RUSS",300,12,1
"RUSS",300,15,1
"RUSS",300,19,1
"RUSS",400,0,1
"SA",300,0,1
"SA",300,1,2
"SOC",200,11,1
"SOC",200,13,1
"SOC",200,19,1
"SOC",200,20,1
"SOC",200,22,1
"SOC",300,5,1
"SOC",300,7,1
"SOC",300,16,1
"SOC",300,22,1
"SOC",400,0,1
"SOSP",400,0,1
"SPAN",100,8,1
"SPAN",100,16,1
"SPAN",200,10,1
"SPAN",200,12,1
"SPAN",300,16,1
"SPAN",300,21,1
"SPAN",400,0,1
"THDC",400,0,1
"THEA",100,8,1
"THEA",100,11,1
"THEA",100,18,1
"THEA",200,5,1
"THEA",200,6,1
"THEA",200,9,2
"THEA",200,12,1
"THEA",400,0,1
